Character,Chapter
Major Major Major Major,3.0232213438735176
Major Major Major Major,6.795835743204164
Major Major Major Major,6.816946211683054
Major Major Major Major,6.842683632157316
Major Major Major Major,7.718402095612312
Major Major Major Major,7.720039292730845
Major Major Major Major,9.000217864923748
Major Major Major Major,9.036165577342048
Major Major Major Major,9.044226579520696
Major Major Major Major,9.04727668845316
Major Major Major Major,9.051633986928104
Major Major Major Major,9.116775599128541
Major Major Major Major,9.121786492374728
Major Major Major Major,9.133769063180829
Major Major Major Major,9.135076252723312
Major Major Major Major,9.136492374727668
Major Major Major Major,9.137799564270152
Major Major Major Major,9.146949891067537
Major Major Major Major,9.152505446623094
Major Major Major Major,9.19520697167756
Major Major Major Major,9.19847494553377
Major Major Major Major,9.201416122004357
Major Major Major Major,9.208169934640523
Major Major Major Major,9.208605664488017
Major Major Major Major,9.208932461873639
Major Major Major Major,9.223529411764705
Major Major Major Major,9.240087145969499
Major Major Major Major,9.245751633986927
Major Major Major Major,9.249346405228758
Major Major Major Major,9.250980392156862
Major Major Major Major,9.254248366013073
Major Major Major Major,9.257407407407408
Major Major Major Major,9.260348583877995
Major Major Major Major,9.261764705882353
Major Major Major Major,9.268736383442265
Major Major Major Major,9.288126361655774
Major Major Major Major,9.29553376906318
Major Major Major Major,9.305337690631807
Major Major Major Major,9.308605664488017
Major Major Major Major,9.312091503267974
Major Major Major Major,9.320697167755991
Major Major Major Major,9.328649237472767
Major Major Major Major,9.330501089324619
Major Major Major Major,9.35119825708061
Major Major Major Major,9.353812636165577
Major Major Major Major,9.355228758169934
Major Major Major Major,9.358496732026143
Major Major Major Major,9.362745098039216
Major Major Major Major,9.36830065359477
Major Major Major Major,9.36949891067538
Major Major Major Major,9.374836601307189
Major Major Major Major,9.378867102396514
Major Major Major Major,9.383986928104575
Major Major Major Major,9.387799564270152
Major Major Major Major,9.39520697167756
Major Major Major Major,9.397494553376907
Major Major Major Major,9.404684095860567
Major Major Major Major,9.411546840958605
Major Major Major Major,9.416993464052288
Major Major Major Major,9.421023965141613
Major Major Major Major,9.439869281045752
Major Major Major Major,9.44727668845316
Major Major Major Major,9.452941176470588
Major Major Major Major,9.460348583877996
Major Major Major Major,9.461873638344226
Major Major Major Major,9.462745098039216
Major Major Major Major,9.483333333333333
Major Major Major Major,9.49313725490196
Major Major Major Major,9.508169934640524
Major Major Major Major,9.52156862745098
Major Major Major Major,9.52755991285403
Major Major Major Major,9.539760348583878
Major Major Major Major,9.543355119825708
Major Major Major Major,9.556209150326797
Major Major Major Major,9.562200435729848
Major Major Major Major,9.56797385620915
Major Major Major Major,9.579847494553377
Major Major Major Major,9.58322440087146
Major Major Major Major,9.598148148148148
Major Major Major Major,9.598910675381264
Major Major Major Major,9.60359477124183
Major Major Major Major,9.607625272331155
Major Major Major Major,9.624836601307189
Major Major Major Major,9.64281045751634
Major Major Major Major,9.643899782135076
Major Major Major Major,9.645969498910675
Major Major Major Major,9.649891067538126
Major Major Major Major,9.655010893246187
Major Major Major Major,9.662745098039215
Major Major Major Major,9.677668845315903
Major Major Major Major,9.684313725490195
Major Major Major Major,9.695315904139434
Major Major Major Major,9.701307189542483
Major Major Major Major,9.710457516339869
Major Major Major Major,9.72755991285403
Major Major Major Major,9.732135076252723
Major Major Major Major,9.739433551198257
Major Major Major Major,9.74074074074074
Major Major Major Major,9.80479302832244
Major Major Major Major,9.816230936819172
Major Major Major Major,9.81764705882353
Major Major Major Major,9.826143790849674
Major Major Major Major,9.845098039215687
Major Major Major Major,9.847385620915032
Major Major Major Major,9.85087145969499
Major Major Major Major,9.853050108932463
Major Major Major Major,9.869934640522876
Major Major Major Major,9.872875816993464
Major Major Major Major,9.873856209150327
Major Major Major Major,9.886165577342048
Major Major Major Major,9.896949891067537
Major Major Major Major,9.903050108932462
Major Major Major Major,9.904139433551197
Major Major Major Major,9.904684095860567
Major Major Major Major,9.909803921568628
Major Major Major Major,9.913834422657953
Major Major Major Major,9.920152505446623
Major Major Major Major,9.931045751633986
Major Major Major Major,9.931808278867102
Major Major Major Major,9.934531590413943
Major Major Major Major,9.937908496732026
Major Major Major Major,9.941830065359477
Major Major Major Major,9.947930283224402
Major Major Major Major,9.960675381263616
Major Major Major Major,9.967864923747277
Major Major Major Major,9.97156862745098
Major Major Major Major,9.978976034858388
Major Major Major Major,9.983442265795206
Major Major Major Major,9.991721132897604
Major Major Major Major,10.389321468298109
Major Major Major Major,10.447163515016685
Major Major Major Major,10.46236559139785
Major Major Major Major,10.470522803114571
Major Major Major Major,10.493882091212459
Major Major Major Major,11.0438202247191
Major Major Major Major,11.210861423220974
Major Major Major Major,11.226217228464419
Major Major Major Major,11.2374531835206
Major Major Major Major,11.241573033707866
Major Major Major Major,11.269662921348315
Major Major Major Major,11.547565543071162
Major Major Major Major,11.549812734082398
Major Major Major Major,11.597752808988764
Major Major Major Major,11.62808988764045
Major Major Major Major,11.665917602996254
Major Major Major Major,11.705992509363297
Major Major Major Major,11.71310861423221
Major Major Major Major,11.953558052434456
Major Major Major Major,13.03888888888889
Major Major Major Major,13.631578947368421
Major Major Major Major,13.64093567251462
Major Major Major Major,13.651169590643274
Major Major Major Major,17.826298342541435
Major Major Major Major,17.830497237569062
Major Major Major Major,17.833370165745855
Major Major Major Major,21.194772075231114
Major Major Major Major,24.820817270624516
Major Major Major Major,24.889591364687742
Major Major Major Major,25.27795566502463
Major Major Major Major,25.3121921182266
Major Major Major Major,25.320073891625615
Major Major Major Major,25.357019704433498
Major Major Major Major,25.36933497536946
Major Major Major Major,25.373522167487685
Major Major Major Major,25.447413793103447
Major Major Major Major,25.448891625615765
Major Major Major Major,25.45591133004926
Major Major Major Major,25.473152709359606
Major Major Major Major,25.480295566502463
Major Major Major Major,25.498645320197046
Major Major Major Major,25.50036945812808
Major Major Major Major,25.51243842364532
Major Major Major Major,25.53115763546798
Major Major Major Major,25.53411330049261
Major Major Major Major,25.53448275862069
Major Major Major Major,25.536206896551725
Major Major Major Major,25.586945812807883
Major Major Major Major,25.587931034482757
Major Major Major Major,25.588793103448275
Major Major Major Major,35.43543356207112
Major Major Major Major,38.04852405984634
Major Major Major Major,38.0497371613425
Major Major Major Major,38.75171856045289
ex-P.F.C. Wintergreen,3.4755434782608696
ex-P.F.C. Wintergreen,3.4775197628458496
ex-P.F.C. Wintergreen,3.484930830039526
ex-P.F.C. Wintergreen,4.610909090909091
ex-P.F.C. Wintergreen,4.779272727272727
ex-P.F.C. Wintergreen,4.786181818181818
ex-P.F.C. Wintergreen,4.797818181818182
ex-P.F.C. Wintergreen,4.803272727272727
ex-P.F.C. Wintergreen,5.290329482242191
ex-P.F.C. Wintergreen,5.290543431750107
ex-P.F.C. Wintergreen,5.292255027813436
ex-P.F.C. Wintergreen,6.901388085598612
ex-P.F.C. Wintergreen,6.911220358588779
ex-P.F.C. Wintergreen,6.92192018507808
ex-P.F.C. Wintergreen,6.980335454019665
ex-P.F.C. Wintergreen,6.9869866975130135
ex-P.F.C. Wintergreen,6.997108155002892
ex-P.F.C. Wintergreen,7.6722331368696794
ex-P.F.C. Wintergreen,10.066370040786058
ex-P.F.C. Wintergreen,10.068965517241379
ex-P.F.C. Wintergreen,10.082313681868744
ex-P.F.C. Wintergreen,10.100852799406749
ex-P.F.C. Wintergreen,10.24731182795699
ex-P.F.C. Wintergreen,12.249142626588663
ex-P.F.C. Wintergreen,12.250353036110551
ex-P.F.C. Wintergreen,12.258220698002825
ex-P.F.C. Wintergreen,12.270123058301392
ex-P.F.C. Wintergreen,12.300181561428284
ex-P.F.C. Wintergreen,12.305023199515837
ex-P.F.C. Wintergreen,12.31208392172685
ex-P.F.C. Wintergreen,12.361307242283639
ex-P.F.C. Wintergreen,12.380472059713536
ex-P.F.C. Wintergreen,12.397417793019972
ex-P.F.C. Wintergreen,13.63654970760234
ex-P.F.C. Wintergreen,21.328976729359262
ex-P.F.C. Wintergreen,21.417755817660186
ex-P.F.C. Wintergreen,24.30562837316885
ex-P.F.C. Wintergreen,27.76105810928014
ex-P.F.C. Wintergreen,27.762792714657415
ex-P.F.C. Wintergreen,29.344574146130565
ex-P.F.C. Wintergreen,29.619541720709037
ex-P.F.C. Wintergreen,29.632295719844358
ex-P.F.C. Wintergreen,30.03030303030303
ex-P.F.C. Wintergreen,30.032153597039095
ex-P.F.C. Wintergreen,30.03863058061531
ex-P.F.C. Wintergreen,37.44336569579288
ex-P.F.C. Wintergreen,37.519417475728154
ex-P.F.C. Wintergreen,37.62621359223301
ex-P.F.C. Wintergreen,37.63592233009709
ex-P.F.C. Wintergreen,37.663430420711975
ex-P.F.C. Wintergreen,37.6957928802589
ex-P.F.C. Wintergreen,37.70711974110032
ex-P.F.C. Wintergreen,37.74110032362459
ex-P.F.C. Wintergreen,39.01812141347025
ex-P.F.C. Wintergreen,42.56467609200253
ex-P.F.C. Wintergreen,42.56995146655412
Clevinger,2.0973451327433628
Clevinger,2.112249650675361
Clevinger,2.122030740568235
Clevinger,2.1318118304611087
Clevinger,2.1397298556124826
Clevinger,2.146716348393107
Clevinger,2.152771308802981
Clevinger,2.1788542151839776
Clevinger,2.203074056823475
Clevinger,2.2063344201210993
Clevinger,2.3744760130414533
Clevinger,2.498835584536563
Clevinger,2.544946436888682
Clevinger,2.600838379133675
Clevinger,2.615277130880298
Clevinger,2.6199347927340475
Clevinger,2.6213320912901725
Clevinger,2.6222636236609222
Clevinger,2.6283185840707963
Clevinger,2.6511411271541685
Clevinger,2.6748952026082904
Clevinger,2.680950163018165
Clevinger,2.6907312529110388
Clevinger,2.7144853283651607
Clevinger,2.743828598043782
Clevinger,2.754075454122031
Clevinger,2.7638565440149048
Clevinger,2.7722403353516536
Clevinger,2.7782952957615277
Clevinger,2.8034466697717746
Clevinger,2.824406148113647
Clevinger,4.3785454545454545
Clevinger,4.478545454545454
Clevinger,4.520363636363636
Clevinger,4.854181818181818
Clevinger,4.859636363636364
Clevinger,4.882181818181818
Clevinger,4.930181818181818
Clevinger,4.940727272727273
Clevinger,4.984
Clevinger,4.9978181818181815
Clevinger,5.500213949507916
Clevinger,5.500427899015833
Clevinger,5.501069747539581
Clevinger,5.501711596063329
Clevinger,8.000382701875239
Clevinger,8.001913509376196
Clevinger,8.002487562189055
Clevinger,8.0185610409491
Clevinger,8.035973976272484
Clevinger,8.03693073096058
Clevinger,8.053769613471106
Clevinger,8.056065824722541
Clevinger,8.105817068503635
Clevinger,8.10907003444317
Clevinger,8.116724071947953
Clevinger,8.118446230386528
Clevinger,8.140451588212782
Clevinger,8.143321852277076
Clevinger,8.152698048220437
Clevinger,8.219670876387294
Clevinger,8.254114045158822
Clevinger,8.258323765786452
Clevinger,8.260619977037887
Clevinger,8.264829697665519
Clevinger,8.270761576731726
Clevinger,8.273823191733639
Clevinger,8.278606965174129
Clevinger,8.573861461921163
Clevinger,8.574435514734022
Clevinger,8.581515499425947
Clevinger,8.585725220053579
Clevinger,8.587447378492154
Clevinger,8.593953310371221
Clevinger,8.600267891312667
Clevinger,8.62265595101416
Clevinger,8.624952162265595
Clevinger,8.628587830080367
Clevinger,8.652506697282817
Clevinger,8.741676234213548
Clevinger,8.7451205510907
Clevinger,8.836969001148105
Clevinger,8.838117106773824
Clevinger,8.83926521239954
Clevinger,8.862418675851512
Clevinger,8.870838117106773
Clevinger,8.904515882127823
Clevinger,8.92881745120551
Clevinger,8.941446613088404
Clevinger,8.947952544967471
Clevinger,8.950631458094145
Clevinger,8.95713738997321
Clevinger,8.97646383467279
Clevinger,8.979334098737084
Clevinger,10.0
Clevinger,10.03337041156841
Clevinger,10.045606229143493
Clevinger,12.118014928384103
Clevinger,12.396610853338712
Clevinger,12.41315311680452
Clevinger,12.42566068186403
Clevinger,12.434133548517249
Clevinger,12.451684486584627
Clevinger,12.469033689731692
Clevinger,12.472866653217672
Clevinger,12.476296146863023
Clevinger,12.494048819850716
Clevinger,12.496469638894492
Clevinger,12.738753278192455
Clevinger,12.740972362315917
Clevinger,12.74541053056284
