Location,Time,Lat,Lon
arezzo,6.27674956622325,43.4641001,11.8604704684926
avignon,4.446545454545454,43.9493143,4.8060329
avignon,5.803380402225075,43.9493143,4.8060329
avignon,5.952717158750535,43.9493143,4.8060329
avignon,9.891176470588235,43.9493143,4.8060329
avignon,17.05635359116022,43.9493143,4.8060329
avignon,17.6660773480663,43.9493143,4.8060329
avignon,21.251992349378387,43.9493143,4.8060329
avignon,21.25406439273191,43.9493143,4.8060329
avignon,21.263308893847626,43.9493143,4.8060329
avignon,21.266815428753585,43.9493143,4.8060329
avignon,21.617628307299967,43.9493143,4.8060329
avignon,21.622250557857825,43.9493143,4.8060329
avignon,21.694453299330572,43.9493143,4.8060329
avignon,21.707363723302517,43.9493143,4.8060329
avignon,21.950749123366272,43.9493143,4.8060329
avignon,22.00299550673989,43.9493143,4.8060329
avignon,24.589976869699306,43.9493143,4.8060329
avignon,24.77023901310717,43.9493143,4.8060329
avignon,25.838669950738915,43.9493143,4.8060329
avignon,25.839655172413792,43.9493143,4.8060329
avignon,25.848275862068967,43.9493143,4.8060329
avignon,27.683434518647008,43.9493143,4.8060329
avignon,28.100652560806804,43.9493143,4.8060329
avignon,28.843583152066444,43.9493143,4.8060329
avignon,29.921098140942497,43.9493143,4.8060329
avignon,29.961521833117164,43.9493143,4.8060329
avignon,30.13555401341661,43.9493143,4.8060329
avignon,38.37019813991104,43.9493143,4.8060329
avignon,42.28107195610888,43.9493143,4.8060329
barcelona,24.296067848882036,41.3870186,2.1700437
beirut,22.98302546180729,33.8959203,35.47843
bengasi,22.984523215177234,32.1170043,20.0669846
bengasi,22.99900149775337,32.1170043,20.0669846
bologna,2.671634839310666,44.4936714,11.3430347
bologna,3.97653162055336,44.4936714,11.3430347
bologna,10.708194289951798,44.4936714,11.3430347
bologna,10.720059325176122,44.4936714,11.3430347
bologna,10.952910641453467,44.4936714,11.3430347
bologna,10.992955135335558,44.4936714,11.3430347
bologna,11.020973782771536,44.4936714,11.3430347
bologna,11.02621722846442,44.4936714,11.3430347
bologna,11.037078651685393,44.4936714,11.3430347
bologna,11.060299625468165,44.4936714,11.3430347
bologna,11.066666666666666,44.4936714,11.3430347
bologna,11.120973782771536,44.4936714,11.3430347
bologna,11.971535580524344,44.4936714,11.3430347
bologna,12.00302602380472,44.4936714,11.3430347
bologna,12.013919709501716,44.4936714,11.3430347
bologna,12.026830744401856,44.4936714,11.3430347
bologna,12.04841638087553,44.4936714,11.3430347
bologna,12.055477103086544,44.4936714,11.3430347
bologna,12.056687512608432,44.4936714,11.3430347
bologna,12.102077869679242,44.4936714,11.3430347
bologna,12.132539842646763,44.4936714,11.3430347
bologna,12.14060923945935,44.4936714,11.3430347
bologna,12.149687310873512,44.4936714,11.3430347
bologna,12.16199314101271,44.4936714,11.3430347
bologna,12.164615694976801,44.4936714,11.3430347
bologna,12.172281621948759,44.4936714,11.3430347
bologna,12.177728464797257,44.4936714,11.3430347
bologna,12.184990921928586,44.4936714,11.3430347
bologna,12.187613475892677,44.4936714,11.3430347
bologna,12.191042969538026,44.4936714,11.3430347
bologna,12.196288077466209,44.4936714,11.3430347
bologna,12.36090377244301,44.4936714,11.3430347
bologna,12.375226951785354,44.4936714,11.3430347
bologna,12.376840831147872,44.4936714,11.3430347
bologna,12.389953600968328,44.4936714,11.3430347
bologna,12.399435142223119,44.4936714,11.3430347
bologna,12.552148476901351,44.4936714,11.3430347
bologna,12.603590881581601,44.4936714,11.3430347
bologna,12.851119628807746,44.4936714,11.3430347
bologna,13.280994152046784,44.4936714,11.3430347
bologna,14.00387168141593,44.4936714,11.3430347
bologna,14.466261061946902,44.4936714,11.3430347
bologna,14.902654867256636,44.4936714,11.3430347
bologna,14.982853982300885,44.4936714,11.3430347
bologna,14.990597345132743,44.4936714,11.3430347
bologna,14.992809734513274,44.4936714,11.3430347
bologna,15.05301767255752,44.4936714,11.3430347
bologna,15.079693231077025,44.4936714,11.3430347
bologna,15.107702567522507,44.4936714,11.3430347
bologna,15.839613204401466,44.4936714,11.3430347
bologna,15.853284428142715,44.4936714,11.3430347
bologna,16.293219303604154,44.4936714,11.3430347
bologna,16.911016086336794,44.4936714,11.3430347
bologna,17.055469613259667,44.4936714,11.3430347
bologna,21.039209435766654,44.4936714,11.3430347
bologna,21.249920306024865,44.4936714,11.3430347
bologna,21.253108065030283,44.4936714,11.3430347
bologna,21.264265221549252,44.4936714,11.3430347
bologna,21.265859101051962,44.4936714,11.3430347
bologna,21.314791201785145,44.4936714,11.3430347
bologna,26.008298755186722,44.4936714,11.3430347
bologna,28.007118845165117,44.4936714,11.3430347
bologna,28.09096302155428,44.4936714,11.3430347
bologna,28.657108957880165,44.4936714,11.3430347
bologna,28.902709116076725,44.4936714,11.3430347
bologna,29.762645914396888,44.4936714,11.3430347
bologna,29.797881539126674,44.4936714,11.3430347
bologna,29.815607436230003,44.4936714,11.3430347
bologna,29.825983571119757,44.4936714,11.3430347
bologna,30.101087207957438,44.4936714,11.3430347
cairo,12.314303005850313,30.0488185,31.2436663
cairo,22.274920951905475,30.0488185,31.2436663
cairo,22.9103012148444,30.0488185,31.2436663
cairo,22.91462805791313,30.0488185,31.2436663
cairo,22.995839573972376,30.0488185,31.2436663
cairo,24.12490362374711,30.0488185,31.2436663
catania,22.58179397570311,37.5028972,15.0870338
corsica,4.672363636363636,42.1640662,9.0982074
corsica,24.029915188897455,42.1640662,9.0982074
elba,10.009269558769002,42.7717164,10.2957249
elba,30.769604441360165,42.7717164,10.2957249
etna,22.303877517057746,45.5956595,12.8757278
