272,609
280,594
296,569
309,545
315,517
323,496
344,521
393,522
378,548
386,560
405,558
405,580
415,613
405,619
402,641
414,650
424,652
433,651
446,632
473,611
501,576
516,566
530,574
540,608
547,642
556,668
565,677
565,723
573,742
613,755
613,762
602,777
578,782
567,778
561,758
551,734
542,703
502,646
476,678
480,702
485,728
506,774
522,817
533,835
531,844
509,852
531,880
565,900
622,935
610,954
599,962
585,991
576,1002
529,1023
541,1054
542,1083
511,1074
493,1048
474,1030
470,1014
488,994
530,955
534,939
494,926
442,922
415,947
385,992
409,1028
437,1056
445,1056
480,1077
498,1097
486,1144
468,1168
452,1179
438,1180
439,1135
439,1104
406,1070
378,1055
346,1043
325,1025
308,1012
297,1002
340,942
365,896
375,872
378,842
369,816
352,780
347,752
314,740
278,735
277,793
290,830
306,841
316,855
284,883
266,866
257,847
250,820
245,789
229,754
219,708
210,691
223,685
274,687
320,689
337,696
352,694
362,657
347,629
320,611
271,608
